,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hilo,20,US,1560211527,58,19.71,-155.08,84.2,12.75
1,saint-augustin,100,FR,1560211755,87,44.83,-0.61,55.99,3.36
2,kapaa,40,US,1560211683,66,22.08,-159.32,84.2,10.29
3,riyadh,0,SA,1560211626,13,24.63,46.72,87.8,5.23
4,bredasdorp,9,ZA,1560211755,87,-34.53,20.04,44.6,4.7
5,rorvik,100,NO,1560211755,83,64.86,11.24,46.0,12.73
6,luderitz,0,NA,1560211755,54,-26.65,15.16,57.2,2.24
7,busselton,55,AU,1560211756,72,-33.64,115.35,48.99,31.79
8,shakawe,0,BW,1560211756,56,-18.36,21.84,53.69,5.86
9,birjand,0,IR,1560211756,31,32.86,59.22,60.8,9.17
10,vao,81,EE,1560211756,83,59.1,26.19,50.09,3.36
11,esperance,20,TT,1560211756,69,10.24,-61.45,82.0,3.36
12,chuy,100,UY,1560211757,96,-33.69,-53.46,64.67,5.46
13,krivosheino,100,RU,1560211757,72,57.34,83.93,52.07,6.69
14,prince rupert,90,CA,1560211700,93,54.32,-130.32,53.6,6.93
15,banepa,75,NP,1560211757,88,27.63,85.52,68.0,3.56
16,luganville,20,VU,1560211757,74,-15.51,167.18,78.8,6.93
17,trapani,71,IT,1560211758,94,38.02,12.54,77.0,3.36
18,port hedland,0,AU,1560211588,93,-20.31,118.58,57.2,6.93
19,la ronge,20,CA,1560211758,27,55.1,-105.3,64.4,14.99
20,codrington,0,AU,1560211758,87,-28.95,153.24,68.0,6.93
21,east london,0,ZA,1560211758,73,-33.02,27.91,54.77,4.63
22,estelle,75,US,1560211605,39,32.87,-97.01,80.01,17.22
23,rikitea,83,PF,1560211758,74,-23.12,-134.97,71.69,9.28
24,tuktoyaktuk,40,CA,1560211759,86,69.44,-133.03,41.0,8.05
25,parabel,98,RU,1560211759,68,58.71,81.5,45.41,8.41
26,new norfolk,40,AU,1560211759,62,-42.78,147.06,59.0,10.29
27,sorong,100,ID,1560211759,91,-0.86,131.25,81.59,1.19
28,albany,90,US,1560211512,88,42.65,-73.75,69.01,6.93
29,kodiak,1,US,1560211632,1,39.95,-94.76,80.6,4.7
30,cayenne,0,GF,1560211760,94,4.94,-52.33,75.2,6.33
31,bubaque,100,GW,1560211659,86,11.28,-15.83,79.97,16.22
32,klaksvik,100,FO,1560211760,75,62.23,-6.59,44.6,14.99
33,coahuayana,100,MX,1560211760,42,18.62,-100.35,94.91,1.36
34,aksarka,100,RU,1560211760,63,66.56,67.8,41.45,11.1
35,mnogovershinnyy,35,RU,1560211760,71,53.94,139.92,46.67,5.66
36,hobyo,93,SO,1560211761,62,5.35,48.53,80.33,23.4
37,orumiyeh,40,IR,1560211761,77,37.55,45.08,62.6,9.17
38,chokurdakh,0,RU,1560211761,26,70.62,147.9,74.39,16.26
39,hofn,8,IS,1560211761,91,64.25,-15.21,35.15,3.65
40,sinop,91,TR,1560211762,86,42.03,35.15,68.99,2.33
41,manama,70,AE,1560211641,66,25.33,56.02,96.8,5.82
42,port alfred,0,ZA,1560211597,91,-33.59,26.89,55.0,3.0
43,cabo san lucas,5,MX,1560211717,45,22.89,-109.91,91.99,17.22
44,avarua,93,CK,1560211762,78,-21.21,-159.78,78.8,12.75
45,staryy nadym,95,RU,1560211650,53,65.61,72.68,38.93,8.37
46,manali,75,IN,1560211762,78,32.25,77.19,25.97,8.48
47,mar del plata,0,AR,1560211762,58,-46.43,-67.52,37.85,15.32
48,ushuaia,40,AR,1560211763,80,-54.81,-68.31,33.8,31.09
49,mataura,92,NZ,1560211763,70,-46.19,168.86,53.51,5.44
50,priiskovyy,26,RU,1560211763,52,51.93,116.63,71.69,4.99
51,puerto ayora,75,EC,1560211763,78,-0.74,-90.35,77.0,17.22
52,nioro,98,GM,1560211764,50,13.79,-15.05,83.75,14.83
53,wenatchee,1,US,1560211674,23,47.42,-120.31,84.2,16.11
54,nikolskoye,0,RU,1560211598,54,59.7,30.79,59.0,6.71
55,pochutla,75,MX,1560211764,59,15.74,-96.47,89.6,6.93
56,belmonte,92,PT,1560211764,82,40.36,-7.35,54.0,4.0
57,natal,75,BR,1560211570,88,-5.81,-35.21,77.0,5.82
58,rincon,40,US,1560211531,83,32.3,-81.24,82.0,1.66
59,ambilobe,73,MG,1560211765,63,-13.19,49.05,73.31,5.21
60,kahului,40,US,1560211708,48,20.89,-156.47,89.6,13.87
61,bethel,20,US,1560211562,59,60.79,-161.76,62.6,14.99
62,imbituba,0,BR,1560211765,83,-28.24,-48.67,69.8,9.17
63,narsaq,99,GL,1560211765,27,60.91,-46.05,53.6,31.09
64,thompson,75,CA,1560211598,50,55.74,-97.86,55.4,4.7
65,puerto el triunfo,20,SV,1560211766,74,13.27,-88.55,86.0,4.7
66,huarmey,41,PE,1560211766,94,-10.07,-78.15,63.41,18.41
67,treinta y tres,100,UY,1560211766,96,-33.23,-54.39,63.59,3.6
68,kaitangata,91,NZ,1560211766,83,-46.28,169.85,46.99,5.01
69,port elizabeth,75,US,1560211766,100,39.31,-74.98,75.99,5.82
70,cabras,100,CO,1560211766,88,5.5,-75.6,62.01,2.73
71,cherskiy,0,RU,1560211767,31,68.75,161.3,70.61,10.2
72,hasaki,75,JP,1560211767,77,35.73,140.83,64.4,12.75
73,yellowknife,75,CA,1560211767,43,62.45,-114.38,55.4,5.82
74,cerro azul,20,BR,1560211767,93,-24.82,-49.26,57.2,3.36
75,qaanaaq,100,GL,1560211767,73,77.48,-69.36,33.89,4.36
76,gimli,32,CA,1560211767,22,50.63,-96.99,68.0,9.33
77,ilam,0,IR,1560211768,35,33.64,46.42,71.6,4.7
78,souillac,0,FR,1560211768,87,45.6,-0.6,55.99,3.36
79,kawalu,89,ID,1560211768,93,-7.38,108.21,71.15,3.04
80,upernavik,0,GL,1560211768,84,72.79,-56.15,35.69,8.88
81,punta arenas,40,CL,1560211768,74,-53.16,-70.91,41.0,31.09
82,margate,40,AU,1560211769,62,-43.03,147.26,59.0,10.29
83,la foa,90,NC,1560211769,88,-21.71,165.83,68.0,1.12
84,saint george,40,GR,1560211769,77,39.45,22.34,71.6,3.49
85,georgetown,75,GY,1560211648,78,6.8,-58.16,82.4,11.41
86,bealanana,23,MG,1560211770,84,-14.54,48.75,59.99,9.01
87,pevek,0,RU,1560211770,76,69.7,170.27,41.81,2.73
88,constitucion,75,MX,1560211590,12,23.99,-104.67,86.0,13.87
89,komsomolskiy,99,RU,1560211770,78,67.55,63.78,33.89,8.86
90,necochea,63,AR,1560211770,66,-38.55,-58.74,53.01,11.01
91,mount isa,19,AU,1560211605,64,-20.73,139.49,73.4,12.75
92,gat,40,SN,1560211771,88,14.69,-16.54,75.2,10.29
